Code,Year,Site,Elevation,Aspect,Degree.northing,Degree.easting,Slope(degree),Distance,Lifeform
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.1,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.2,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.3,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.4,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.5,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.6,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.7,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.8,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,0.9,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1,bare ground
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.1,bare ground
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.2,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.3,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.4,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.5,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.6,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.7,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.8,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,1.9,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.1,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.2,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.3,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.4,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.5,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.6,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.7,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.8,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,2.9,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.1,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.2,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.3,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.4,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.5,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.6,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.7,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.8,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,3.9,herb
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4,herb
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.1,bare ground
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.2,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.3,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.4,grass
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.5,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.6,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.7,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.8,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,4.9,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5,rock
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.1,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.2,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.3,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.4,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.5,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.6,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.7,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.8,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,5.9,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6,litter
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.1,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.2,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.3,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.4,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.5,shrub
2004_BF_NE,2004,BF,1710,NE,0.707105483,0.70710808,6.072456407,6.6,shrub
