"Site","cum.gdd","Year"
"BF",16586.65,2004
"F",15280.05,2004
"H",14128.25,2004
"KB",14978.7,2004
"LSK",12737.6,2004
"MBo",13384.1,2004
"MBu",15463.4,2004
"MF",12737.6,2004
"MH",15914,2004
"MHW",14835.9,2004
"MM",14978.7,2004
"MSp",15914,2004
"MSt",15781.85,2004
"TT",16529.95,2004
"BF",43226.65,2012
"F",39847.2,2012
"H",36766.9,2012
"KB",38976.3,2012
"LSK",33281.65,2012
"MBo",35015.9,2012
"MBu",40306,2012
"MF",33281.65,2012
"MH",41452.6,2012
"MHW",38588.45,2012
"MM",38976.3,2012
"MSp",41452.6,2012
"MSt",41138.55,2012
"TT",43110.6,2012
"BF",60599.15,2017
"F",55932.3,2017
"H",51666.8,2017
"KB",54726.6,2017
"LSK",46766.5,2017
"MBo",49187.15,2017
"MBu",56576.2,2017
"MF",46766.5,2017
"MH",58150.1,2017
"MHW",54189.5,2017
"MM",54726.6,2017
"MSp",58150.1,2017
"MSt",57721.1,2017
"TT",60464,2017
"BF",77193,2022
"F",71197.35,2022
"H",65756.45,2022
"KB",69679.9,2022
"LSK",59398.9,2022
"MBo",62500.25,2022
"MBu",72040,2022
"MF",59398.9,2022
"MH",74045.55,2022
"MHW",68994,2022
"MM",69679.9,2022
"MSp",74045.55,2022
"MSt",73500.95,2022
"TT",77018.2,2022
